1	NC_000001.11
HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	NT_187673.1
HSCHR19KIR_FH05_A_HAP_CTG3_1	NT_187674.1
HSCHR19KIR_FH05_B_HAP_CTG3_1	NT_187675.1
HSCHR19KIR_FH06_A_HAP_CTG3_1	NT_187676.1
HSCHR19KIR_FH06_BA1_HAP_CTG3_1	NT_187677.1
HSCHR19KIR_FH08_A_HAP_CTG3_1	NT_187683.1
HSCHR19KIR_FH08_BAX_HAP_CTG3_1	NT_187684.1
HSCHR19KIR_FH13_A_HAP_CTG3_1	NT_187685.1
HSCHR19KIR_FH13_BA2_HAP_CTG3_1	NT_187686.1
HSCHR19KIR_FH15_A_HAP_CTG3_1	NT_187687.1
HSCHR19KIR_FH15_B_HAP_CTG3_1	NT_187636.1
HSCHR19KIR_G085_A_HAP_CTG3_1	NT_187637.1
HSCHR19KIR_G085_BA1_HAP_CTG3_1	NT_187638.1
HSCHR19KIR_G248_A_HAP_CTG3_1	NT_187639.1
HSCHR19KIR_G248_BA2_HAP_CTG3_1	NT_187640.1
HSCHR19KIR_GRC212_AB_HAP_CTG3_1	NT_187641.1
HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	NT_187642.1
HSCHR19KIR_LUCE_A_HAP_CTG3_1	NT_187643.1
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	NT_187644.1
HSCHR19KIR_RP5_B_HAP_CTG3_1	NT_113949.2
HSCHR19KIR_RSH_A_HAP_CTG3_1	NT_187645.1
HSCHR19KIR_RSH_BA2_HAP_CTG3_1	NT_187668.1
HSCHR19KIR_T7526_A_HAP_CTG3_1	NT_187669.1
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	NT_187670.1
HSCHR19LRC_COX1_CTG3_1	NW_003571054.1
HSCHR19LRC_COX2_CTG3_1	NW_003571055.2
HSCHR19LRC_LRC_I_CTG3_1	NW_003571056.2
HSCHR19LRC_LRC_J_CTG3_1	NW_003571057.2
HSCHR19LRC_LRC_S_CTG3_1	NW_003571058.2
HSCHR19LRC_LRC_T_CTG3_1	NW_003571059.2
HSCHR19LRC_PGF1_CTG3_1	NW_003571060.1
HSCHR19LRC_PGF2_CTG3_1	NW_003571061.2
HSCHR19_1_CTG2	NW_003315962.1
HSCHR19_1_CTG3_1	NW_003315963.1
HSCHR19_2_CTG2	NW_003315964.2
HSCHR19_2_CTG3_1	NT_187619.1
HSCHR19_3_CTG2	NW_003315965.1
HSCHR19_3_CTG3_1	NT_187620.1
HSCHR19_4_CTG2	NT_187621.1
HSCHR19_4_CTG3_1	NT_187693.1
HSCHR19_5_CTG2	NT_187622.1
HSCHR1_1_CTG11	NT_187514.1
HSCHR1_1_CTG3	NT_187515.1
HSCHR1_1_CTG31	NW_003315905.1
HSCHR1_1_CTG32_1	NT_187516.1
HSCHR1_2_CTG3	NT_187517.1
HSCHR1_2_CTG31	NW_003315906.1
HSCHR1_2_CTG32_1	NT_187518.1
HSCHR1_3_CTG3	NW_014040925.1
HSCHR1_3_CTG31	NW_003315907.2
HSCHR1_3_CTG32_1	NT_187519.1
HSCHR1_4_CTG3	NW_014040926.1
HSCHR1_4_CTG31	NT_187520.1
HSCHR1_4_CTG32_1	NT_187521.1
HSCHR1_5_CTG3	NW_015495298.1
HSCHR1_5_CTG32_1	NW_014040927.1
HSCHR1_ALT2_1_CTG32_1	NT_187646.1
HSCHR20_1_CTG1	NW_003315966.2
HSCHR20_1_CTG2	NT_187623.1
HSCHR20_1_CTG3	NT_187624.1
HSCHR20_1_CTG4	NT_187625.1
HSCHR21_1_CTG1_1	NW_003315967.2
HSCHR21_2_CTG1_1	NW_003315968.2
HSCHR21_3_CTG1_1	NW_003315969.2
HSCHR21_4_CTG1_1	NW_003315970.2
HSCHR21_5_CTG2	NT_187626.1
HSCHR21_6_CTG1_1	NT_187627.1
HSCHR21_8_CTG1_1	NT_187628.1
HSCHR22_1_CTG1	NW_003315971.2
HSCHR22_1_CTG2	NW_003315972.2
HSCHR22_1_CTG3	NT_187629.1
HSCHR22_1_CTG4	NT_187630.1
HSCHR22_1_CTG5	NT_187631.1
HSCHR22_1_CTG6	NT_187632.1
HSCHR22_1_CTG7	NT_187633.1
HSCHR22_2_CTG1	NW_004504305.1
HSCHR22_3_CTG1	NT_187682.1
HSCHR22_4_CTG1	NW_009646207.1
HSCHR22_5_CTG1	NW_009646208.1
HSCHR22_6_CTG1	NW_014040930.1
HSCHR22_7_CTG1	NW_014040931.1
HSCHR22_8_CTG1	NW_015148968.1
HSCHR2_1_CTG1	NT_187522.1
HSCHR2_1_CTG15	NT_187523.1
HSCHR2_1_CTG5	NW_003315908.1
HSCHR2_1_CTG7	NT_187524.1
HSCHR2_1_CTG7_2	NW_003315909.1
HSCHR2_2_CTG1	NT_187525.1
HSCHR2_2_CTG15	NT_187647.1
HSCHR2_2_CTG7	NT_187648.1
HSCHR2_2_CTG7_2	NW_003571033.2
HSCHR2_3_CTG1	NT_187526.1
HSCHR2_3_CTG15	NT_187527.1
HSCHR2_3_CTG7_2	NT_187528.1
HSCHR2_4_CTG1	NT_187529.1
HSCHR2_4_CTG7_2	NT_187530.1
HSCHR2_5_CTG7_2	NT_187531.1
HSCHR2_6_CTG7_2	NW_015495299.1
HSCHR3_1_CTG1	NW_003871060.2
HSCHR3_1_CTG2_1	NW_003315913.1
HSCHR3_1_CTG3	NT_187532.1
HSCHR3_2_CTG2_1	NT_187533.1
HSCHR3_2_CTG3	NT_187534.1
HSCHR3_3_CTG1	NT_187535.1
HSCHR3_3_CTG2_1	NT_187536.1
HSCHR3_3_CTG3	NT_187649.1
HSCHR3_4_CTG2_1	NT_187537.1
HSCHR3_4_CTG3	NT_187678.1
HSCHR3_5_CTG2_1	NT_187538.1
HSCHR3_5_CTG3	NT_187688.1
HSCHR3_6_CTG3	NT_187689.1
HSCHR3_7_CTG3	NT_187690.1
HSCHR3_8_CTG3	NT_187691.1
HSCHR3_9_CTG3	NT_187539.1
HSCHR4_11_CTG12	NW_015495301.1
HSCHR4_1_CTG12	NW_003315914.1
HSCHR4_1_CTG4	NT_187540.1
HSCHR4_1_CTG6	NW_003315915.1
HSCHR4_1_CTG8_1	NT_187541.1
HSCHR4_1_CTG9	NT_167250.2
HSCHR4_2_CTG12	NT_187542.1
HSCHR4_2_CTG4	NW_013171799.1
HSCHR4_3_CTG12	NT_187543.1
HSCHR4_4_CTG12	NT_187544.1
HSCHR4_5_CTG12	NT_187545.1
HSCHR4_6_CTG12	NT_187650.1
HSCHR4_7_CTG12	NT_187679.1
HSCHR4_8_CTG12	NW_013171800.1
HSCHR4_9_CTG12	NW_013171801.1
HSCHR5_1_CTG1	NW_003315920.1
HSCHR5_1_CTG1_1	NT_187651.1
HSCHR5_1_CTG5	NW_003315919.1
HSCHR5_2_CTG1	NW_003571036.1
HSCHR5_2_CTG1_1	NW_003315917.2
HSCHR5_2_CTG5	NT_187546.1
HSCHR5_3_CTG1	NT_187547.1
HSCHR5_3_CTG1_1	NW_003315918.1
HSCHR5_3_CTG5	NT_187652.1
HSCHR5_4_CTG1	NT_187548.1
HSCHR5_4_CTG1_1	NT_187549.1
HSCHR5_5_CTG1	NT_187550.1
HSCHR5_6_CTG1	NT_187551.1
HSCHR5_7_CTG1	NW_009646199.1
HSCHR6_1_CTG10	NW_013171803.1
HSCHR6_1_CTG2	NW_003315921.1
HSCHR6_1_CTG3	NW_004166862.2
HSCHR6_1_CTG4	NT_187552.1
HSCHR6_1_CTG5	NT_187553.1
HSCHR6_1_CTG6	NT_187554.1
HSCHR6_1_CTG7	NT_187555.1
HSCHR6_1_CTG8	NT_187556.1
HSCHR6_1_CTG9	NT_187557.1
HSCHR6_8_CTG1	NT_187692.1
HSCHR6_MHC_APD_CTG1	NT_167244.2
HSCHR6_MHC_COX_CTG1	NT_113891.3
HSCHR6_MHC_DBB_CTG1	NT_167245.2
HSCHR6_MHC_MANN_CTG1	NT_167246.2
HSCHR6_MHC_MCF_CTG1	NT_167247.2
HSCHR6_MHC_QBL_CTG1	NT_167248.2
HSCHR6_MHC_SSTO_CTG1	NT_167249.2
HSCHR7_1_CTG1	NT_187558.1
HSCHR7_1_CTG4_4	NT_187559.1
HSCHR7_1_CTG6	NW_003315922.2
HSCHR7_1_CTG7	NT_187560.1
HSCHR7_2_CTG1	NT_187653.1
HSCHR7_2_CTG4_4	NT_187561.1
HSCHR7_2_CTG6	NT_187562.1
HSCHR7_2_CTG7	NT_187563.1
HSCHR7_3_CTG6	NT_187564.1
HSCHR8_1_CTG1	NT_187565.1
HSCHR8_1_CTG6	NT_187566.1
HSCHR8_1_CTG7	NT_187567.1
HSCHR8_2_CTG1	NT_187568.1
HSCHR8_2_CTG7	NT_187569.1
HSCHR8_3_CTG1	NT_187570.1
HSCHR8_3_CTG7	NT_187571.1
HSCHR8_4_CTG1	NT_187572.1
HSCHR8_4_CTG7	NT_187573.1
HSCHR8_5_CTG1	NT_187654.1
HSCHR8_5_CTG7	NT_187574.1
HSCHR8_6_CTG1	NT_187655.1
HSCHR8_6_CTG7	NT_187575.1
HSCHR8_7_CTG1	NT_187680.1
HSCHR8_8_CTG1	NT_187576.1
HSCHR8_9_CTG1	NT_187577.1
HSCHR9_1_CTG1	NW_003315928.1
HSCHR9_1_CTG2	NW_003315929.1
HSCHR9_1_CTG3	NW_003315930.1
HSCHR9_1_CTG4	NW_003315931.1
HSCHR9_1_CTG5	NT_187578.1
HSCHR9_1_CTG6	NW_013171804.1
HSCHR9_1_CTG7	NW_013171805.1
HSCHRX_1_CTG3	NT_187634.1
HSCHRX_2_CTG12	NT_187635.1
HSCHRX_2_CTG3	NT_187667.1
KI270299.1	NT_187170.1
KI270300.1	NT_187171.1
KI270301.1	NT_187172.1
KI270302.1	NT_187396.1
KI270303.1	NT_187398.1
KI270304.1	NT_187397.1
KI270305.1	NT_187399.1
KI270307.1	NT_187283.1
KI270308.1	NT_187194.1
KI270309.1	NT_187195.1
KI270310.1	NT_187402.1
KI270311.1	NT_187406.1
KI270312.1	NT_187405.1
KI270313.1	NT_187196.1
KI270314.1	NT_187192.1
KI270315.1	NT_187404.1
KI270316.1	NT_187403.1
KI270317.1	NT_187407.1
KI270318.1	NT_187284.1
KI270319.1	NT_187174.1
KI270320.1	NT_187401.1
KI270321.1	NT_187175.1
KI270322.1	NT_187400.1
KI270323.1	NT_187176.1
KI270324.1	NT_187177.1
KI270325.1	NT_187178.1
KI270326.1	NT_187179.1
KI270327.1	NT_187180.1
KI270328.1	NT_187181.1
KI270329.1	NT_187459.1
KI270330.1	NT_187458.1
KI270331.1	NT_187182.1
KI270332.1	NT_187183.1
KI270333.1	NT_187461.1
KI270334.1	NT_187460.1
KI270335.1	NT_187462.1
KI270336.1	NT_187465.1
KI270337.1	NT_187466.1
KI270338.1	NT_187463.1
KI270339.1	NT_187184.1
KI270340.1	NT_187464.1
KI270342.1	NT_187185.1
KI270343.1	NT_187186.1
KI270344.1	NT_187187.1
KI270345.1	NT_187188.1
KI270346.1	NT_187189.1
KI270347.1	NT_187190.1
KI270348.1	NT_187191.1
KI270362.1	NT_187469.1
KI270363.1	NT_187467.1
KI270364.1	NT_187468.1
